200122093422|adminmarga|http://localhost/etc_cms/login|login|{"username":"adminmarga"}|{"code":"1","message":"Login success. "}|::1
200122120202|adminmarga|operator_management/segment/getPlaza/jakarta%20timur|getProvince|[{"plaza_code":"PLZ10004","plaza_name":"MERUYA SELATAN"}]|success get province|::1

200122120240|adminmarga|operator_management/lane/saveLine|ADD LANE|{"plaza_code":"PLZ10004","name":"LINE1","gate_status":"1","deduct_status":"1","status":1,"created_by":"adminmarga","gate_config":"{\"ip_address\":\"1.1.1.1\",\"mac_address\":\"11.11.11.11\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01034000\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122120441|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"1.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122140533|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"2.2.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122140651|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"2.2.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122141120|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"2.2.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122141221|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"2.2.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122141735|adminmarga|operator_management/lane/saveELine|EDIT LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"updated_by":"adminmarga","gate_config":"{\"ip_address\":\"2.2.2.2.2.2\",\"mac_address\":\"11.22.33.44\",\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

